URLs,Subdirs
https://medium.com/dark-mountain/michel-bauwens-an-introduction-to-p2p-8bcfbdc421ed,"['dark-mountain', 'michel-bauwens-an-introduction-to-p2p-8bcfbdc421ed']"
https://medium.com/one-of-my-turns/veganboys-e2fa9e9cd317,"['one-of-my-turns', 'veganboys-e2fa9e9cd317']"
https://medium.com/the-small-stories/i-cf2f19375659,"['the-small-stories', 'i-cf2f19375659']"
https://medium.com/thoughts-on-journalism/good-faith-and-bad-acting-5fbb5ab216bd,"['thoughts-on-journalism', 'good-faith-and-bad-acting-5fbb5ab216bd']"
https://medium.com/ciiag/how-to-install-proftp-on-turnkey-linux-lamp-with-webmin-module-2f7496785c3d,"['ciiag', 'how-to-install-proftp-on-turnkey-linux-lamp-with-webmin-module-2f7496785c3d']"
https://medium.com/re-write/am-i-even-here-feeling-disconnected-in-an-age-of-hyper-connectivity-de869d26c055,"['re-write', 'am-i-even-here-feeling-disconnected-in-an-age-of-hyper-connectivity-de869d26c055']"
https://medium.com/we-imbibe/killing-pray-with-me-23d97d31a5bf,"['we-imbibe', 'killing-pray-with-me-23d97d31a5bf']"
https://medium.com/war-is-boring/the-bomber-at-the-bottom-of-lake-mead-fd3686a9f9d7,"['war-is-boring', 'the-bomber-at-the-bottom-of-lake-mead-fd3686a9f9d7']"
https://medium.com/ride-the-pine/nbc-uses-madden-video-game-clip-in-pete-carroll-montage-cdf335d8853e,"['ride-the-pine', 'nbc-uses-madden-video-game-clip-in-pete-carroll-montage-cdf335d8853e']"
https://medium.com/mindspaceapocalypse/25-ways-to-hide-the-truth-nwo-and-rfid-wtf-82c7383c5561,"['mindspaceapocalypse', '25-ways-to-hide-the-truth-nwo-and-rfid-wtf-82c7383c5561']"
https://medium.com/brewernation/brewers-by-the-jersey-numbers-15-64-shane-peterson-78f26646fa8c,"['brewernation', 'brewers-by-the-jersey-numbers-15-64-shane-peterson-78f26646fa8c']"
https://medium.com/mixx-io/la-tecnolog-iacute-a-en-el-mundodisco-http-www-xataka-com-historias-de-la-tecnologia-la-tecnologia-cbde9fec09f9,"['mixx-io', 'la-tecnolog-iacute-a-en-el-mundodisco-http-www-xataka-com-historias-de-la-tecnologia-la-tecnologia-cbde9fec09f9']"
https://medium.com/televised-revolution/foxtel-triple-play-bundles-there-are-better-deals-to-be-found-televised-revolution-b1ac7c52fbae,"['televised-revolution', 'foxtel-triple-play-bundles-there-are-better-deals-to-be-found-televised-revolution-b1ac7c52fbae']"
https://medium.com/design-in-code/edmt-app-what-we-learned-from-kickstarting-an-audio-visual-instrument-a14e628169be,"['design-in-code', 'edmt-app-what-we-learned-from-kickstarting-an-audio-visual-instrument-a14e628169be']"
https://medium.com/an-unmistakable-journey/declaration-of-interdependence-ea46889b7c3e,"['an-unmistakable-journey', 'declaration-of-interdependence-ea46889b7c3e']"
https://medium.com/design-create-surpass/kickstarter-or-indiegogo-5f74c44f075,"['design-create-surpass', 'kickstarter-or-indiegogo-5f74c44f075']"
https://medium.com/lindice-totale/recensire-fabio-volo-26eb313474e2,"['lindice-totale', 'recensire-fabio-volo-26eb313474e2']"
https://medium.com/endless/like-skittles-in-the-meat-grinder-marshawn-is-not-your-product-c240e9ed0be4,"['endless', 'like-skittles-in-the-meat-grinder-marshawn-is-not-your-product-c240e9ed0be4']"
https://medium.com/produkt-blog/dropbox-hackathon-ceae4fc5d1db,"['produkt-blog', 'dropbox-hackathon-ceae4fc5d1db']"
https://medium.com/hungry-fan/healthy-potato-skins-193a9327d986,"['hungry-fan', 'healthy-potato-skins-193a9327d986']"
https://medium.com/electric-head-software/cutting-code-a-livestream-show-for-programmers-37a5504b1943,"['electric-head-software', 'cutting-code-a-livestream-show-for-programmers-37a5504b1943']"
https://medium.com/bizcatalyst-360/the-loneliness-of-the-long-distance-drone-pilot-d18de919f92a,"['bizcatalyst-360', 'the-loneliness-of-the-long-distance-drone-pilot-d18de919f92a']"
https://medium.com/target-is-new/the-breakthrough-of-the-vr-glasses-is-near-52f9503738f9,"['target-is-new', 'the-breakthrough-of-the-vr-glasses-is-near-52f9503738f9']"
https://medium.com/get-rich-education/knowledge-is-not-power-27121b50646e,"['get-rich-education', 'knowledge-is-not-power-27121b50646e']"
https://medium.com/american-backstory/american-backstory-ba478ebcbcf2,"['american-backstory', 'american-backstory-ba478ebcbcf2']"
https://medium.com/get-rich-education/one-thing-thats-never-going-out-of-style-a5dffdbe4651,"['get-rich-education', 'one-thing-thats-never-going-out-of-style-a5dffdbe4651']"
