URLs,Subdirs
https://medium.com/the-machinery-of-government/queensland-election-2015-thoughts-on-week-3-4938e562eac5,"['the-machinery-of-government', 'queensland-election-2015-thoughts-on-week-3-4938e562eac5']"
https://medium.com/launchprint-gallery/04-startups-70747d23b01f,"['launchprint-gallery', '04-startups-70747d23b01f']"
https://medium.com/saraswati-the-exploration-of-art-culture-and/obstructions-bali-indonesia-d08eaf69f28,"['saraswati-the-exploration-of-art-culture-and', 'obstructions-bali-indonesia-d08eaf69f28']"
https://medium.com/disrupting-the-world-one-innovation-at-a-time/take-a-walk-down-memory-lane-what-festivals-can-teach-us-about-the-power-of-nostalgia-720a4bd1fe56,"['disrupting-the-world-one-innovation-at-a-time', 'take-a-walk-down-memory-lane-what-festivals-can-teach-us-about-the-power-of-nostalgia-720a4bd1fe56']"
https://medium.com/design-affects/8-commitments-to-make-when-working-for-yourself-216ebffe4438,"['design-affects', '8-commitments-to-make-when-working-for-yourself-216ebffe4438']"
https://medium.com/at-home-with-aptdeco/meet-the-note-passer-sustainable-design-and-ethical-living-b236f52a4dd0,"['at-home-with-aptdeco', 'meet-the-note-passer-sustainable-design-and-ethical-living-b236f52a4dd0']"
https://medium.com/war-is-boring/you-can-buy-chinese-military-anti-radiation-food-on-ebay-a83d87838391,"['war-is-boring', 'you-can-buy-chinese-military-anti-radiation-food-on-ebay-a83d87838391']"
https://medium.com/the-awl/new-york-city-january-28-2015-def3e1bfcb75,"['the-awl', 'new-york-city-january-28-2015-def3e1bfcb75']"
https://medium.com/cuenteando-aqui-y-alla/cicatrices-a9dfd621a1b0,"['cuenteando-aqui-y-alla', 'cicatrices-a9dfd621a1b0']"
https://medium.com/startup-journey-liveslack/startup-journey-part-6-3271a59912c5,"['startup-journey-liveslack', 'startup-journey-part-6-3271a59912c5']"
https://medium.com/dodger-insider/in-case-you-missed-it-justin-turner-and-prospects-on-parade-24483f5b1ce5,"['dodger-insider', 'in-case-you-missed-it-justin-turner-and-prospects-on-parade-24483f5b1ce5']"
https://medium.com/building-heirlumia/serif-v-sans-serif-our-very-long-journey-to-choosing-a-typeface-27dfc9ce5cbf,"['building-heirlumia', 'serif-v-sans-serif-our-very-long-journey-to-choosing-a-typeface-27dfc9ce5cbf']"
https://medium.com/ibillionaire/city-by-city-state-by-state-this-is-how-buffett-invests-in-the-u-s-ff25fcb89e92,"['ibillionaire', 'city-by-city-state-by-state-this-is-how-buffett-invests-in-the-u-s-ff25fcb89e92']"
https://medium.com/psyc-406-2015/test-administration-difficulties-ddc5a773f6a0,"['psyc-406-2015', 'test-administration-difficulties-ddc5a773f6a0']"
https://medium.com/talko-team-talk-share-do/we-learned-us-some-erlang-ef06bd44e3c2,"['talko-team-talk-share-do', 'we-learned-us-some-erlang-ef06bd44e3c2']"
https://medium.com/ipg-media-lab/whats-next-for-apple-68db553bf78a,"['ipg-media-lab', 'whats-next-for-apple-68db553bf78a']"
https://medium.com/philadelphia-football-stories/eagles-name-ed-marynowitz-vice-president-of-player-personnel-e31cd7a6e1af,"['philadelphia-football-stories', 'eagles-name-ed-marynowitz-vice-president-of-player-personnel-e31cd7a6e1af']"
https://medium.com/ipg-media-lab/snapchat-experiments-with-original-web-series-50f9ac73a91d,"['ipg-media-lab', 'snapchat-experiments-with-original-web-series-50f9ac73a91d']"
https://medium.com/starts-with-a-bang/impending-doom-b6e735a58b20,"['starts-with-a-bang', 'impending-doom-b6e735a58b20']"
https://medium.com/foesia-americana/hola-66b82c76d527,"['foesia-americana', 'hola-66b82c76d527']"
