URLs,Subdirs
https://medium.com/bizcatalyst-360/endlessly-slapped-by-obamacare-df6cedb1b749,"['bizcatalyst-360', 'endlessly-slapped-by-obamacare-df6cedb1b749']"
https://medium.com/seascapes-by-something-visual/a-little-something-about-something-visual-f6e583d5c982,"['seascapes-by-something-visual', 'a-little-something-about-something-visual-f6e583d5c982']"
https://medium.com/the-read-optional/keys-to-victory-in-sb-xlix-ollie-and-symes-discuss-aa285b1024c8,"['the-read-optional', 'keys-to-victory-in-sb-xlix-ollie-and-symes-discuss-aa285b1024c8']"
https://medium.com/the-read-optional/keys-to-victory-in-sb-xlix-ollie-and-symes-discuss-2ce9d9c5041d,"['the-read-optional', 'keys-to-victory-in-sb-xlix-ollie-and-symes-discuss-2ce9d9c5041d']"
https://medium.com/churchofgodinhk/惟有主能改變我-李永昌-a51fedb77f1c,"['churchofgodinhk', '惟有主能改變我-李永昌-a51fedb77f1c']"
https://medium.com/solo-travel/klia2-ef53ab86c7a5,"['solo-travel', 'klia2-ef53ab86c7a5']"
https://medium.com/365-books-in-a-year/031-rewire-1b61d2a97d81,"['365-books-in-a-year', '031-rewire-1b61d2a97d81']"
https://medium.com/dodger-insider/team-jarrin-takes-over-spanish-radio-broadcasts-410db1051e97,"['dodger-insider', 'team-jarrin-takes-over-spanish-radio-broadcasts-410db1051e97']"
https://medium.com/the-haddonfield-sun/reviewing-a-most-wanted-man-and-black-sea-42c405168cec,"['the-haddonfield-sun', 'reviewing-a-most-wanted-man-and-black-sea-42c405168cec']"
https://medium.com/psyc-406-2015/pretty-hurts-b881682d7f64,"['psyc-406-2015', 'pretty-hurts-b881682d7f64']"
https://medium.com/starts-with-a-bang/ask-ethan-73-the-multiverse-and-you-46c9e3c493e2,"['starts-with-a-bang', 'ask-ethan-73-the-multiverse-and-you-46c9e3c493e2']"
https://medium.com/thoughts-about-life/how-cipha-sounds-changed-my-life-e0359c7590f2,"['thoughts-about-life', 'how-cipha-sounds-changed-my-life-e0359c7590f2']"
https://medium.com/brands-online-x/branding-web-especialista-cirugia-47ff154b5da4,"['brands-online-x', 'branding-web-especialista-cirugia-47ff154b5da4']"
https://medium.com/very-loose-women/very-loose-women-28-01-15-ce632b5feaf4,"['very-loose-women', 'very-loose-women-28-01-15-ce632b5feaf4']"
https://medium.com/radical-ux/nobody-hires-steve-jobs-bcc94fdf7acb,"['radical-ux', 'nobody-hires-steve-jobs-bcc94fdf7acb']"
https://medium.com/my-favorite-creative/droga-5-and-newcastle-hijack-super-bowl-again-d693cf3b89b7,"['my-favorite-creative', 'droga-5-and-newcastle-hijack-super-bowl-again-d693cf3b89b7']"
