URLs,Subdirs
https://medium.com/lets-make-things/advice-id-give-my-younger-self-d971a3befed1,"['lets-make-things', 'advice-id-give-my-younger-self-d971a3befed1']"
https://medium.com/tour-du-monde-en-train/tour-du-monde-en-train-f99f2f8d7a91,"['tour-du-monde-en-train', 'tour-du-monde-en-train-f99f2f8d7a91']"
https://medium.com/tour-du-monde-en-train/tour-du-monde-en-train-ab678b06fa5e,"['tour-du-monde-en-train', 'tour-du-monde-en-train-ab678b06fa5e']"
https://medium.com/tour-du-monde-en-train/tour-du-monde-en-train-4-inde-d8fecb85ec1e,"['tour-du-monde-en-train', 'tour-du-monde-en-train-4-inde-d8fecb85ec1e']"
https://medium.com/tour-du-monde-en-train/tour-du-monde-en-train-3c8a9ac75e03,"['tour-du-monde-en-train', 'tour-du-monde-en-train-3c8a9ac75e03']"
https://medium.com/tour-du-monde-en-train/le-prochain-trajet-en-train-nous-emmene-vers-saint-petersbourg-avec-comme-depart-tallinn-une-fca5fdee9e6f,"['tour-du-monde-en-train', 'le-prochain-trajet-en-train-nous-emmene-vers-saint-petersbourg-avec-comme-depart-tallinn-une-fca5fdee9e6f']"
https://medium.com/tour-du-monde-en-train/tour-du-monde-en-train-432404d00f2c,"['tour-du-monde-en-train', 'tour-du-monde-en-train-432404d00f2c']"
https://medium.com/dave-voyles/microsofts-talks-at-gdc-2015-c0c7aa401678,"['dave-voyles', 'microsofts-talks-at-gdc-2015-c0c7aa401678']"
https://medium.com/craig-browne/understanding-the-islamist-surge-9c6517ac420f,"['craig-browne', 'understanding-the-islamist-surge-9c6517ac420f']"
https://medium.com/1500-palabras/por-que-1-500-palabras-a2b81ba58776,"['1500-palabras', 'por-que-1-500-palabras-a2b81ba58776']"
https://medium.com/televised-revolution/what-to-watch-hiding-allegiance-and-fresh-off-the-boat-week-of-1-feb-2015-televised-revolution-d88951a06ed9,"['televised-revolution', 'what-to-watch-hiding-allegiance-and-fresh-off-the-boat-week-of-1-feb-2015-televised-revolution-d88951a06ed9']"
https://medium.com/brewernation/brewers-by-the-jersey-numbers-15-65-yadiel-rivera-31d84ea1ab4e,"['brewernation', 'brewers-by-the-jersey-numbers-15-65-yadiel-rivera-31d84ea1ab4e']"
https://medium.com/tell-me-your-story-and-experience/five-reasons-for-my-malaise-in-2015-34ea302994ce,"['tell-me-your-story-and-experience', 'five-reasons-for-my-malaise-in-2015-34ea302994ce']"
https://medium.com/rise-over-run/kodie-rollan-bf31696e054a,"['rise-over-run', 'kodie-rollan-bf31696e054a']"
https://medium.com/2015-my-year-of-writing/jan-30-i-will-overcome-8d27cd06657b,"['2015-my-year-of-writing', 'jan-30-i-will-overcome-8d27cd06657b']"
https://medium.com/tour-du-monde-en-train/tour-du-monde-en-train-de-la-france-a-lautriche-c0ff637a9349,"['tour-du-monde-en-train', 'tour-du-monde-en-train-de-la-france-a-lautriche-c0ff637a9349']"
https://medium.com/2015-my-year-of-writing/jan-29-thursday-night-on-campus-e420529f1ad3,"['2015-my-year-of-writing', 'jan-29-thursday-night-on-campus-e420529f1ad3']"
https://medium.com/dodger-insider/opponents-in-high-school-mike-bolsinger-and-clayton-kershaw-are-now-teammates-4692afd8ff2e,"['dodger-insider', 'opponents-in-high-school-mike-bolsinger-and-clayton-kershaw-are-now-teammates-4692afd8ff2e']"
https://medium.com/list-of-stuff/january-2015-list-of-stuff-19b1a73e3e18,"['list-of-stuff', 'january-2015-list-of-stuff-19b1a73e3e18']"
https://medium.com/2015-my-year-of-writing/jan-31-dont-worry-theyre-on-it-55ef53ba5421,"['2015-my-year-of-writing', 'jan-31-dont-worry-theyre-on-it-55ef53ba5421']"
https://medium.com/365-books-in-a-year/032-rule-1-7ca43039859e,"['365-books-in-a-year', '032-rule-1-7ca43039859e']"
https://medium.com/theaksheffect/not-leaving-this-room-until-we-finish-this-a34c2567cee4,"['theaksheffect', 'not-leaving-this-room-until-we-finish-this-a34c2567cee4']"
https://medium.com/angelocria/the-dø-shake-shook-shaken-85ec69a7ea2e,"['angelocria', 'the-dø-shake-shook-shaken-85ec69a7ea2e']"
https://medium.com/dodgers-photog-blog/1-31-15-something-current-dodgers-fanfest-by-jon-soohoo-la-dodgers-1f507ae8c01c,"['dodgers-photog-blog', '1-31-15-something-current-dodgers-fanfest-by-jon-soohoo-la-dodgers-1f507ae8c01c']"
https://medium.com/2015-my-year-of-writing/jan-28-an-authentic-parklet-c989db25acf2,"['2015-my-year-of-writing', 'jan-28-an-authentic-parklet-c989db25acf2']"
https://medium.com/govmatt/the-road-to-2016-martin-omalley-4e5acc222bf5,"['govmatt', 'the-road-to-2016-martin-omalley-4e5acc222bf5']"
https://medium.com/point-of-decision/militarizing-the-super-bowl-eeec38583c50,"['point-of-decision', 'militarizing-the-super-bowl-eeec38583c50']"
https://medium.com/2015-my-year-of-writing/jan-27-late-resolutions-e50fb069f160,"['2015-my-year-of-writing', 'jan-27-late-resolutions-e50fb069f160']"
https://medium.com/emmaus-scholars/when-our-mind-wanders-c3ffde6f1ca9,"['emmaus-scholars', 'when-our-mind-wanders-c3ffde6f1ca9']"
https://medium.com/physio-reflexion/ask-a-silly-question-4f0958639bba,"['physio-reflexion', 'ask-a-silly-question-4f0958639bba']"
https://medium.com/no-more-kids-with-cancer/staying-centered-nayas-foundation-precision-medicine-initiative-5ef72cb8f78f,"['no-more-kids-with-cancer', 'staying-centered-nayas-foundation-precision-medicine-initiative-5ef72cb8f78f']"
https://medium.com/pillow-talk-comic/norwegian-lesson-90c9d2c888cd,"['pillow-talk-comic', 'norwegian-lesson-90c9d2c888cd']"
https://medium.com/oxygen-catana-50/cà-cest-fait-79c2c872f00f,"['oxygen-catana-50', 'cà-cest-fait-79c2c872f00f']"
https://medium.com/new-farmer/information-request-for-animal-production-figures-for-a-small-farm-business-plan-b54856d0d98a,"['new-farmer', 'information-request-for-animal-production-figures-for-a-small-farm-business-plan-b54856d0d98a']"
https://medium.com/modern-management/5-mitos-di-industri-software-development-indonesia-df5045350e45,"['modern-management', '5-mitos-di-industri-software-development-indonesia-df5045350e45']"
https://medium.com/tilting-at-windmills/how-chilaquiles-saved-the-world-386059d05d6d,"['tilting-at-windmills', 'how-chilaquiles-saved-the-world-386059d05d6d']"
https://medium.com/a-puff-of-dust/gps-face-off-fitbit-surge-vs-runkeeper-on-iphone6-plus-7615bb21cdc6,"['a-puff-of-dust', 'gps-face-off-fitbit-surge-vs-runkeeper-on-iphone6-plus-7615bb21cdc6']"
https://medium.com/the-u-s-defense-report/a-new-u-s-navy-recruitment-ad-sends-a-message-of-resurgence-of-u-s-presence-in-the-asia-pacific-1f75bd14130c,"['the-u-s-defense-report', 'a-new-u-s-navy-recruitment-ad-sends-a-message-of-resurgence-of-u-s-presence-in-the-asia-pacific-1f75bd14130c']"
https://medium.com/simonprior/an-american-werewolf-in-paris-1997-96be1430dcde,"['simonprior', 'an-american-werewolf-in-paris-1997-96be1430dcde']"
https://medium.com/clouddon/gigaom-research-report-openstacks-inflection-point-8993731c81a9,"['clouddon', 'gigaom-research-report-openstacks-inflection-point-8993731c81a9']"
https://medium.com/short-sci-fi-stories/upgrade-9017b663e11d,"['short-sci-fi-stories', 'upgrade-9017b663e11d']"
https://medium.com/life-in-low-fi/quote-of-the-day-1f84dfb0abb0,"['life-in-low-fi', 'quote-of-the-day-1f84dfb0abb0']"
https://medium.com/new-farmer/the-possible-farm-2f382d4bd6ab,"['new-farmer', 'the-possible-farm-2f382d4bd6ab']"
https://medium.com/wales-cymru/abstract-the-bendithion-chronicles-390c55728732,"['wales-cymru', 'abstract-the-bendithion-chronicles-390c55728732']"
https://medium.com/write-yourself-alive/present-a022b0bba6ad,"['write-yourself-alive', 'present-a022b0bba6ad']"
