URLs,Subdirs
https://medium.com/type-class-tuesdays/stellar-symmetry-or-a-scam-cc65c7764d8e,"['type-class-tuesdays', 'stellar-symmetry-or-a-scam-cc65c7764d8e']"
https://medium.com/war-is-boring/this-general-rescued-new-orleans-now-he-wants-to-save-the-world-7f2446c78627,"['war-is-boring', 'this-general-rescued-new-orleans-now-he-wants-to-save-the-world-7f2446c78627']"
https://medium.com/materials-risk/oil-prices-history-does-not-repeat-itself-but-it-often-rhymes-80b1f1db8dde,"['materials-risk', 'oil-prices-history-does-not-repeat-itself-but-it-often-rhymes-80b1f1db8dde']"
https://medium.com/ipg-media-lab/why-loyalty-programs-are-the-next-step-for-mobile-payment-fd3f997dedd1,"['ipg-media-lab', 'why-loyalty-programs-are-the-next-step-for-mobile-payment-fd3f997dedd1']"
https://medium.com/victoria-schultz/something-new-and-different-a8180b48acaa,"['victoria-schultz', 'something-new-and-different-a8180b48acaa']"
https://medium.com/generation-d/stage-lopen-bij-genera-tion-d-774a72f4b95d,"['generation-d', 'stage-lopen-bij-genera-tion-d-774a72f4b95d']"
https://medium.com/ipg-media-lab/twitter-adds-group-messages-and-video-uploads-is-it-too-late-18113c1d6c02,"['ipg-media-lab', 'twitter-adds-group-messages-and-video-uploads-is-it-too-late-18113c1d6c02']"
https://medium.com/the-coffeelicious/dream-spider-no-1-f594938e60aa,"['the-coffeelicious', 'dream-spider-no-1-f594938e60aa']"
https://medium.com/jicis-travels/-26a2e5d6810a,"['jicis-travels', '-26a2e5d6810a']"
https://medium.com/from-the-corner-of-edgar-dave/tonights-lineup-on-the-hot-stove-radio-show-8e48d16c0e28,"['from-the-corner-of-edgar-dave', 'tonights-lineup-on-the-hot-stove-radio-show-8e48d16c0e28']"
https://medium.com/foesia-americana/muros-de-hormigon-2d4c424eab67,"['foesia-americana', 'muros-de-hormigon-2d4c424eab67']"
https://medium.com/cardinals-insider/kevin-costner-talks-baseball-with-cardinals-on-visit-to-st-louis-to-promote-his-new-movie-a2ce5b656fe1,"['cardinals-insider', 'kevin-costner-talks-baseball-with-cardinals-on-visit-to-st-louis-to-promote-his-new-movie-a2ce5b656fe1']"
https://medium.com/nathan-eckenrode/she-doesnt-d44717fb04fd,"['nathan-eckenrode', 'she-doesnt-d44717fb04fd']"
https://medium.com/rattlebag/victory-in-vegas-c5be5a5fa416,"['rattlebag', 'victory-in-vegas-c5be5a5fa416']"
https://medium.com/um-bicho/cinco-anos-depois-372d5312a772,"['um-bicho', 'cinco-anos-depois-372d5312a772']"
https://medium.com/psyc-406-2015/pick-a-number-any-number-b3d7add7fd9d,"['psyc-406-2015', 'pick-a-number-any-number-b3d7add7fd9d']"
https://medium.com/revista-poleiro/condenado-a-viver-3104acdc48d9,"['revista-poleiro', 'condenado-a-viver-3104acdc48d9']"
https://medium.com/mixx-io/quot-windows-10-es-el-mejor-windows-que-he-probado-quot-http-hipertextual-com-2015-01-windows-10-1616104e62dc,"['mixx-io', 'quot-windows-10-es-el-mejor-windows-que-he-probado-quot-http-hipertextual-com-2015-01-windows-10-1616104e62dc']"
https://medium.com/ebhitpmusic/von-pea-f-substantial-easy-to-fall-b8c4226d2e6c,"['ebhitpmusic', 'von-pea-f-substantial-easy-to-fall-b8c4226d2e6c']"
https://medium.com/mighty-things/a-smarter-jag-1c46b968e570,"['mighty-things', 'a-smarter-jag-1c46b968e570']"
https://medium.com/the-wavestack-blog/wavestack-music-the-mexican-startup-scene-interview-for-idg-connect-d71319bc1de,"['the-wavestack-blog', 'wavestack-music-the-mexican-startup-scene-interview-for-idg-connect-d71319bc1de']"
https://medium.com/universo-béisbol/deserciones-dos-ángulos-de-una-misma-historia-aacb35128ec,"['universo-béisbol', 'deserciones-dos-ángulos-de-una-misma-historia-aacb35128ec']"
https://medium.com/the-awl/new-york-city-january-26-2015-2fca3a889e7b,"['the-awl', 'new-york-city-january-26-2015-2fca3a889e7b']"
https://medium.com/indra-lukmana/menggunakan-sosial-media-dengan-bijak-83a4423223da,"['indra-lukmana', 'menggunakan-sosial-media-dengan-bijak-83a4423223da']"
https://medium.com/gompers/assistive-technology-locks-in-life-lessons-2239e1f13218,"['gompers', 'assistive-technology-locks-in-life-lessons-2239e1f13218']"
https://medium.com/applaudience/the-boo-theory-39ed39b5feb,"['applaudience', 'the-boo-theory-39ed39b5feb']"
https://medium.com/a-story-each-day/one-night-in-l-a-99bc17105fd6,"['a-story-each-day', 'one-night-in-l-a-99bc17105fd6']"
https://medium.com/this-week-in-wood/this-week-in-wood-third-issue-137b8218b532,"['this-week-in-wood', 'this-week-in-wood-third-issue-137b8218b532']"
https://medium.com/dave-voyles/how-to-get-hired-at-microsoft-as-a-student-b33609b57223,"['dave-voyles', 'how-to-get-hired-at-microsoft-as-a-student-b33609b57223']"
https://medium.com/127-days-challenge/127-days-challenge-day-14-26af5afd5b4b,"['127-days-challenge', '127-days-challenge-day-14-26af5afd5b4b']"
https://medium.com/simpolfy-blog/exciting-times-a-revolution-in-civic-engagement-is-approaching-a1c7dd35c007,"['simpolfy-blog', 'exciting-times-a-revolution-in-civic-engagement-is-approaching-a1c7dd35c007']"
