URLs,Subdirs
https://medium.com/the-experts/30-experts-90-tools-part-1-ce570d1d4b42,"['the-experts', '30-experts-90-tools-part-1-ce570d1d4b42']"
https://medium.com/interactive-storytelling-comm371/surrounded-by-static-in-depression-quest-99c68c82286,"['interactive-storytelling-comm371', 'surrounded-by-static-in-depression-quest-99c68c82286']"
https://medium.com/interactive-storytelling-comm371/interactive-fiction-are-literature-5b714b50adcd,"['interactive-storytelling-comm371', 'interactive-fiction-are-literature-5b714b50adcd']"
https://medium.com/the-cover-up/the-cover-up-episode-17-ac0c0eb8c704,"['the-cover-up', 'the-cover-up-episode-17-ac0c0eb8c704']"
https://medium.com/beyond-devices/motorolas-impact-on-lenovo-31c6cd600dd,"['beyond-devices', 'motorolas-impact-on-lenovo-31c6cd600dd']"
https://medium.com/co-salud/por-qué-compartir-es-importante-para-los-pacientes-con-cáncer-fe29d2f76c9e,"['co-salud', 'por-qué-compartir-es-importante-para-los-pacientes-con-cáncer-fe29d2f76c9e']"
https://medium.com/madrid-2015/new-life-new-place-36da0ac026b9,"['madrid-2015', 'new-life-new-place-36da0ac026b9']"
https://medium.com/invisible-college/week-1-blog-post-ab54750137b2,"['invisible-college', 'week-1-blog-post-ab54750137b2']"
https://medium.com/rough-draft-ventures/sonabos-the-future-of-hardware-and-software-for-electronic-music-performance-7b8e233986eb,"['rough-draft-ventures', 'sonabos-the-future-of-hardware-and-software-for-electronic-music-performance-7b8e233986eb']"
https://medium.com/the-history-of-the-future-of-education/the-first-teaching-machines-9ac9c4a1fa93,"['the-history-of-the-future-of-education', 'the-first-teaching-machines-9ac9c4a1fa93']"
https://medium.com/cuepoint-es/como-stevie-wonder-ayudo-a-crear-el-dia-de-martin-luther-king-598260e3bf76,"['cuepoint-es', 'como-stevie-wonder-ayudo-a-crear-el-dia-de-martin-luther-king-598260e3bf76']"
https://medium.com/nonfics/the-jinx-and-the-overnighters-top-this-week-s-nonfics-home-picks-831640885979,"['nonfics', 'the-jinx-and-the-overnighters-top-this-week-s-nonfics-home-picks-831640885979']"
https://medium.com/maras-musings/bemyeyes-and-stuff-624d27e90c0,"['maras-musings', 'bemyeyes-and-stuff-624d27e90c0']"
https://medium.com/dark-mountain/gagged-library-workers-24b2054c07ca,"['dark-mountain', 'gagged-library-workers-24b2054c07ca']"
https://medium.com/building-heirlumia/why-most-people-hire-a-branding-expert-bc720bbf255d,"['building-heirlumia', 'why-most-people-hire-a-branding-expert-bc720bbf255d']"
https://medium.com/virei-professora-e-agora/voltando-à-rotina-de-estudante-aos-poucos-56fa4ed7e7aa,"['virei-professora-e-agora', 'voltando-à-rotina-de-estudante-aos-poucos-56fa4ed7e7aa']"
https://medium.com/energy-and-consciousness/the-1-thing-that-is-blocking-you-from-dietary-improvements-caed72a0b1b1,"['energy-and-consciousness', 'the-1-thing-that-is-blocking-you-from-dietary-improvements-caed72a0b1b1']"
https://medium.com/churchofgodinhk/主耶穌救了我的生命-許志明-304a35ffcee8,"['churchofgodinhk', '主耶穌救了我的生命-許志明-304a35ffcee8']"
https://medium.com/the-hairpin/movie-gets-poster-c75a8593865e,"['the-hairpin', 'movie-gets-poster-c75a8593865e']"
https://medium.com/the-awl/new-york-city-february-2-2015-42b761dee34f,"['the-awl', 'new-york-city-february-2-2015-42b761dee34f']"
https://medium.com/mixx-io/lo-de-adblock-plus-d37ae2e0c7ae,"['mixx-io', 'lo-de-adblock-plus-d37ae2e0c7ae']"
https://medium.com/emmaus-scholars/acknowledge-pain-586045236b15,"['emmaus-scholars', 'acknowledge-pain-586045236b15']"
https://medium.com/new-farmer/portable-livestock-waterers-e266e1a9d8dd,"['new-farmer', 'portable-livestock-waterers-e266e1a9d8dd']"
https://medium.com/loud-clear/top-ten-digital-predictions-for-2015-9ba696f6e8b5,"['loud-clear', 'top-ten-digital-predictions-for-2015-9ba696f6e8b5']"
https://medium.com/cuepoint/cuepoints-new-11-week-of-2-3-15-a8a604d699f6,"['cuepoint', 'cuepoints-new-11-week-of-2-3-15-a8a604d699f6']"
https://medium.com/bizcatalyst-360/the-risk-retention-rules-a-victory-for-rmbs-securitizations-9cfc87699a7b,"['bizcatalyst-360', 'the-risk-retention-rules-a-victory-for-rmbs-securitizations-9cfc87699a7b']"
https://medium.com/interactive-storytelling-comm371/looking-into-depression-quest-a66604062459,"['interactive-storytelling-comm371', 'looking-into-depression-quest-a66604062459']"
https://medium.com/iadvize-product-stories/how-we-improved-our-velocity-commitment-rate-from-40-to-85-20e8b4f1dc6f,"['iadvize-product-stories', 'how-we-improved-our-velocity-commitment-rate-from-40-to-85-20e8b4f1dc6f']"
https://medium.com/afstudeerproces-blog/gedachtengang-na-begeleiding-met-joris-6ccd4d2e92a7,"['afstudeerproces-blog', 'gedachtengang-na-begeleiding-met-joris-6ccd4d2e92a7']"
https://medium.com/communication-new-media/the-evolution-of-worldofwarcraft-com-46f3341f7e57,"['communication-new-media', 'the-evolution-of-worldofwarcraft-com-46f3341f7e57']"
https://medium.com/dc-education/its-like-uber-for-taxi-cabs-c2e07b1d4ac6,"['dc-education', 'its-like-uber-for-taxi-cabs-c2e07b1d4ac6']"
https://medium.com/thrive-global/if-you-want-to-wake-up-refreshed-get-rid-of-your-alarm-clock-e4f2fe70d43e,"['thrive-global', 'if-you-want-to-wake-up-refreshed-get-rid-of-your-alarm-clock-e4f2fe70d43e']"
https://medium.com/city-soccer-talk/what-to-expect-from-brek-a373fe0a19a1,"['city-soccer-talk', 'what-to-expect-from-brek-a373fe0a19a1']"
https://medium.com/stories-ru/-6569aa1539f2,"['stories-ru', '-6569aa1539f2']"
https://medium.com/statsocial-insights/cynopsismedia-super-bowl-49b953522b84,"['statsocial-insights', 'cynopsismedia-super-bowl-49b953522b84']"
https://medium.com/blog/last-month-on-medium-january-2015-and-december-2014-c612b1cb0da3,"['blog', 'last-month-on-medium-january-2015-and-december-2014-c612b1cb0da3']"
https://medium.com/bigcommerce-engineering/the-better-parts-of-javascript-bigcommerce-san-francisco-259e91b59f68,"['bigcommerce-engineering', 'the-better-parts-of-javascript-bigcommerce-san-francisco-259e91b59f68']"
https://medium.com/why-women/the-latest-country-to-adopt-a-women-peace-and-security-policy-may-surprise-you-12a2c69e68ef,"['why-women', 'the-latest-country-to-adopt-a-women-peace-and-security-policy-may-surprise-you-12a2c69e68ef']"
https://medium.com/ios-os-x-development/restkit-tutorial-how-to-fetch-data-from-an-api-into-core-data-9326af750e10,"['ios-os-x-development', 'restkit-tutorial-how-to-fetch-data-from-an-api-into-core-data-9326af750e10']"
