URLs,Subdirs
https://medium.com/the-read-optional/the-toughest-yard-in-seattle-history-7281874f7c13,"['the-read-optional', 'the-toughest-yard-in-seattle-history-7281874f7c13']"
https://medium.com/the-read-optional/the-toughest-yard-in-seattle-history-d8f8555566a7,"['the-read-optional', 'the-toughest-yard-in-seattle-history-d8f8555566a7']"
https://medium.com/signals-from-singapore/trip-1-kuala-lumpur-d4cad28c85e7,"['signals-from-singapore', 'trip-1-kuala-lumpur-d4cad28c85e7']"
https://medium.com/invitation-annual/ia1-feature-casa-haus-7879f45a7be9,"['invitation-annual', 'ia1-feature-casa-haus-7879f45a7be9']"
https://medium.com/invitation-annual/ia1-feature-fabian-zadnos-931cbbcfa65e,"['invitation-annual', 'ia1-feature-fabian-zadnos-931cbbcfa65e']"
https://medium.com/invitation-annual/ia1-essentials-through-the-senses-9f4bf1a8603d,"['invitation-annual', 'ia1-essentials-through-the-senses-9f4bf1a8603d']"
https://medium.com/a-story-each-day/super-bowl-c5519223ea24,"['a-story-each-day', 'super-bowl-c5519223ea24']"
https://medium.com/as-it-happens-at-the-table/gumshoe-with-a-magnifying-glass-39fa5a869545,"['as-it-happens-at-the-table', 'gumshoe-with-a-magnifying-glass-39fa5a869545']"
https://medium.com/invitation-annual/ia1-a-sunday-with-shayne-and-kenny-e582e2a07761,"['invitation-annual', 'ia1-a-sunday-with-shayne-and-kenny-e582e2a07761']"
https://medium.com/from-the-corner-of-edgar-dave/mlb-mlbpa-announce-education-initiative-with-usaid-in-the-dominican-republic-218687efc826,"['from-the-corner-of-edgar-dave', 'mlb-mlbpa-announce-education-initiative-with-usaid-in-the-dominican-republic-218687efc826']"
https://medium.com/abhishek-bhatnagar/the-evolutionary-psychology-of-genocide-ebc466582bb3,"['abhishek-bhatnagar', 'the-evolutionary-psychology-of-genocide-ebc466582bb3']"
https://medium.com/independencia-mexico-finlandesa/independencia-mexico-finlandesa-parte-7-cb45f1824c5b,"['independencia-mexico-finlandesa', 'independencia-mexico-finlandesa-parte-7-cb45f1824c5b']"
https://medium.com/cuepoint/katy-perry-did-katy-perry-proud-at-the-super-bowl-12fd30231ec6,"['cuepoint', 'katy-perry-did-katy-perry-proud-at-the-super-bowl-12fd30231ec6']"
https://medium.com/apps-ru-en/rotation-orientation-manager-20f64c78b2e2,"['apps-ru-en', 'rotation-orientation-manager-20f64c78b2e2']"
https://medium.com/bizcatalyst-360/will-hr-close-the-great-divide-f2ee2661d66d,"['bizcatalyst-360', 'will-hr-close-the-great-divide-f2ee2661d66d']"
https://medium.com/jupiter-lane/jupiter-lane-chapter-5-50-4e1eefd0d105,"['jupiter-lane', 'jupiter-lane-chapter-5-50-4e1eefd0d105']"
https://medium.com/ben-shoemate/home-depots-new-bucket-shows-why-design-matters-914665f6ea54,"['ben-shoemate', 'home-depots-new-bucket-shows-why-design-matters-914665f6ea54']"
https://medium.com/tropicult-miami/storming-papa-doc-umentary-d32386d075e2,"['tropicult-miami', 'storming-papa-doc-umentary-d32386d075e2']"
https://medium.com/seo-semântico/inovação-radical-versus-inovação-incremental-fe50f7c574ae,"['seo-semântico', 'inovação-radical-versus-inovação-incremental-fe50f7c574ae']"
